country,year,month,fraud_cases,economy_index_2015,unemployment_rate,inflation_index,total_pop_thousands,conexiones_moviles,numero_transacciones_digitales_millions,monto_transacciones_millions,FRISK,ln_FRISK,std_ln_FRISK
Colombia,2023,3,24.0,120.88,9.5,99.4,50829.0,77.0,,,0.047217139821755294,0.046136302765473196,-0.42820732850647736
Colombia,2023,4,34.0,118.35,10.7,99.6,50873.0,77.0,,,0.06683309417569241,0.06469453475652531,-0.07875015221366406
Colombia,2023,5,47.0,119.96,10.5,100.0,50917.0,77.0,,,0.0923070880059705,0.08829205391155454,0.3655983404341304
Colombia,2023,6,60.0,122.53,9.7,99.9,50963.0,77.0,,,0.11773247257814493,0.11130205502322556,0.7988836888906018
Colombia,2023,7,17.0,119.03,9.7,99.9,51006.0,77.0,,,0.03332941222601263,0.03278602819580347,-0.6795970759834967
Colombia,2023,8,58.0,121.0,9.6,100.1,51050.0,77.0,,,0.11361410381978453,0.1076106755858704,0.7293738866947108
Colombia,2023,9,21.0,120.89,9.9,100.5,51093.0,77.0,,,0.04110152075626798,0.040279307218152566,-0.5384963434575298
Colombia,2023,10,68.0,119.25,10.0,100.6,51138.0,77.0,,,0.13297352262505377,0.12484561250983263,1.053913012724417
Colombia,2023,11,55.0,121.73,10.3,101.5,51183.0,77.0,,,0.1074575542660649,0.10206689648357581,0.6249828330634676
Colombia,2023,12,62.0,120.34,10.5,101.3,51226.0,77.0,,,0.12103228829110217,0.114249946789496,0.8543933911701291
Colombia,2024,1,58.0,122.0,10.3,101.7,51270.0,,,,0.11312658474741565,0.10717279875300752,0.721128532199192
Colombia,2024,2,55.0,121.79,10.6,102.4,51314.0,,,,0.10718322485091787,0.10181915480091834,0.6203177815158174
Colombia,2024,3,42.0,120.36,10.7,102.6,51357.0,,,,0.08178047783164905,0.07860827428722726,0.18324981256838746
Colombia,2024,4,29.0,122.94,10.6,103.0,51400.0,,,,0.05642023346303502,0.05488605447877035,-0.2634468314684897
Colombia,2024,5,94.0,122.74,10.3,103.4,51443.0,,,,0.18272651283945338,0.16782237723805726,1.863178618163942
Colombia,2024,6,55.0,120.77,10.6,103.7,51488.0,,,,0.10682100683654444,0.10149194854501245,0.6141563877844886
Colombia,2024,7,45.0,122.81,10.1,104.3,51529.0,,,,0.087329464961478,0.08372465785560217,0.2795928777643236
Colombia,2024,8,76.0,122.8,10.0,104.6,51572.0,,,,0.14736678817963236,0.13746956748139819,1.291625940342627
Colombia,2024,9,80.0,122.0,9.8,104.5,51614.0,,,,0.1549967063199907,0.14409749229868707,1.4164317888980056
Colombia,2024,10,97.0,123.73,9.9,105.3,51658.0,,,,0.18777343296294863,0.1720804897582666,1.943360177396895
Colombia,2024,11,71.0,122.4,9.4,105.7,51702.0,,,,0.13732544195582375,0.128679402445889,1.126104448104685
Colombia,2024,12,96.0,124.43,9.5,105.9,51745.0,,,,0.18552517151415596,0.17018585912300976,1.9076837038926335
Mexico,2013,12,0.0,90.704318,4.78,83.4377,116973.596,44.0,,,0.0,0.0,-1.2969680001472967
Mexico,2014,1,52.0,90.16609,4.92,84.0441,117087.223,44.0,73.575648,15.321966,0.044411335983260955,0.043453411846801376,-0.47872698389136153
Mexico,2014,2,25.0,91.15906,4.78,84.1267,117199.076,44.0,73.575648,15.321966,0.021331226194991504,0.02110690008309872,-0.8995186252881745
Mexico,2014,3,43.0,91.449246,5.22,84.3724,117300.886,44.0,73.575648,15.321966,0.0366578646302808,0.03600194677664679,-0.6190403469270354
Mexico,2014,4,29.0,91.855829,4.92,84.4946,117420.354,44.0,75.943512,14.260402,0.024697592037578084,0.02439753690136164,-0.8375549290012777
Mexico,2014,5,25.0,92.538181,4.94,84.8786,117532.468,44.0,75.943512,14.260402,0.021270718147431398,0.021047654033964688,-0.9006342464878052
Mexico,2014,6,19.0,92.208533,4.81,85.1554,117649.342,44.0,75.943512,14.260402,0.016149686583032483,0.016020667618400885,-0.9952939359933713
Mexico,2014,7,33.0,92.767096,5.25,85.4374,117754.804,44.0,61.096205,13.477771,0.028024334361764127,0.02763883831094274,-0.7765202335274707
Mexico,2014,8,26.0,92.127884,4.85,85.7535,117867.877,44.0,61.096205,13.477771,0.022058597017065133,0.02181882577102414,-0.8861128471540997
Mexico,2014,9,31.0,92.342102,4.81,86.0223,117981.008,44.0,61.096205,13.477771,0.026275415446526784,0.02593614683377809,-0.8085824340643908
Mexico,2014,10,20.0,93.01711,4.66,86.3044,118090.322,44.0,67.523406,14.300129,0.01693618889446334,0.016794370648018912,-0.9807248716477014
Mexico,2014,11,45.0,93.141118,4.65,86.5808,118204.001,44.0,67.523406,14.300129,0.038069777350429955,0.03736300536529398,-0.5934111980195825
